Date,Open,High,Low,Close,Adj Close,Volume
2009-12-28,11.77,12.01,11.51,11.53,11.53,159700
2010-01-04,11.68,13.18,11.62,13.15,13.15,1624300
2010-01-11,13.23,13.38,12.9,13.29,13.29,1228000
2010-01-18,13.29,13.49,11.64,11.72,11.72,1222100
2010-01-25,11.84,12.4,10.95,11.07,11.07,1490600
2010-02-01,11.09,12.18,10.93,11.34,11.34,1772000
2010-02-08,11.31,11.44,10.64,11.24,11.24,1883200
2010-02-15,11.46,11.83,11.29,11.7,11.7,521900
2010-02-22,11.79,12.17,11.25,11.63,11.63,1423600
2010-03-01,11.61,13.06,11.57,12.9,12.9,2061900
2010-03-08,12.96,13.6,12.72,13.29,13.29,1839800
2010-03-15,13.29,14.24,13.16,14.04,14.04,1762700
2010-03-22,13.83,14.33,13.74,13.96,13.96,1200000
2010-03-29,14.05,14.14,13.27,13.61,13.61,1141100
2010-04-05,13.62,14.14,13.46,13.59,13.59,1006000
2010-04-12,13.56,14.27,13.4,13.86,13.86,1087500
2010-04-19,13.8,15.07,13.23,15.04,15.04,1377800
2010-04-26,15.04,16.92,13.92,15.55,15.55,3022100
2010-05-03,15.67,16.32,12.52,13.31,13.31,2188900
2010-05-10,14.31,15.41,13.97,14.11,14.11,1302200
2010-05-17,14.24,14.4,11.68,12.46,12.46,1822100
2010-05-24,12.41,13.7,11.55,13.22,13.22,1936800
2010-05-31,13.01,13.5,12.25,12.59,12.59,1748300
2010-06-07,12.65,12.86,11.31,12.75,12.75,1550900
2010-06-14,12.9,13.69,12.15,12.24,12.24,1666300
2010-06-21,12.48,12.64,11.08,11.37,11.37,3567600
2010-06-28,11.39,11.45,9.81,10.34,10.34,2594900
2010-07-05,10.54,10.69,9.69,10.29,10.29,1662000
2010-07-12,10.29,11.19,9.95,10.41,10.41,1400100
2010-07-19,10.43,12.35,10.06,12.32,12.32,1201300
2010-07-26,12.45,13.86,12.15,13.46,13.46,1775000
2010-08-02,13.8,14.16,13.02,13.91,13.91,1210100
2010-08-09,14.02,14.44,12.76,12.88,12.88,1268800
2010-08-16,12.81,13.42,12.3,12.76,12.76,1028100
2010-08-23,12.85,13.01,11.59,12.49,12.49,1026900
2010-08-30,12.49,13.6,11.69,13.6,13.6,844400
2010-09-06,13.54,13.56,12.64,12.77,12.77,522500
2010-09-13,12.98,13.08,12.08,12.24,12.24,1335600
2010-09-20,12.35,13.44,12.06,13.41,13.41,788800
2010-09-27,13.5,14.47,13.3,14.41,14.41,972100
2010-10-04,14.3,14.5,13.67,14.45,14.45,838500
2010-10-11,14.45,14.98,13.97,14.58,14.58,1170900
2010-10-18,14.61,15.22,14.34,14.78,14.78,710800
2010-10-25,14.94,15.26,13.85,14.42,14.42,945900
2010-11-01,14.49,16.07,14.39,15.81,15.81,1106200
2010-11-08,15.78,16.16,15.47,15.62,15.62,751500
2010-11-15,15.75,16.200001,15.21,15.65,15.65,1072400
2010-11-22,15.55,16.32,15.29,16.1,16.1,649500
2010-11-29,15.95,17.219999,15.48,17.129999,17.129999,1179700
2010-12-06,17.120001,17.709999,16.889999,17.540001,17.540001,916100
2010-12-13,17.65,17.65,16.58,16.870001,16.870001,1119600
2010-12-20,17.01,18.9,16.92,18.059999,18.059999,899500
2010-12-27,17.99,18.870001,17.719999,18.48,18.48,810000
2011-01-03,18.790001,19.0,18.27,18.719999,18.719999,962100
2011-01-10,18.620001,19.190001,18.360001,18.559999,18.559999,1041800
2011-01-17,18.540001,18.540001,17.950001,18.110001,18.110001,687100
2011-01-24,18.139999,19.559999,17.969999,18.42,18.42,726200
2011-01-31,18.52,19.059999,18.290001,18.780001,18.780001,848600
2011-02-07,18.780001,19.99,18.66,19.98,19.98,703800
2011-02-14,20.0,20.0,18.25,18.299999,18.299999,2331000
2011-02-21,19.5,20.120001,17.799999,18.559999,18.559999,1899900
2011-02-28,18.74,19.440001,17.969999,19.110001,19.110001,1325800
2011-03-07,19.26,20.120001,18.6,19.16,19.16,1544000
2011-03-14,18.77,19.23,16.379999,17.040001,17.040001,4927200
2011-03-21,17.15,19.190001,16.9,18.82,18.82,2744500
2011-03-28,18.879999,19.25,18.139999,18.66,18.66,1455100
2011-04-04,18.68,19.32,18.18,18.25,18.25,1361500
2011-04-11,18.280001,18.51,16.889999,16.969999,16.969999,1314500
2011-04-18,16.620001,17.67,16.24,17.6,17.6,932300
2011-04-25,17.610001,18.34,16.389999,17.299999,17.299999,3072400
2011-05-02,17.290001,17.389999,16.299999,16.59,16.59,1924000
2011-05-09,16.559999,17.41,16.280001,16.860001,16.860001,1733000
2011-05-16,16.709999,16.93,15.89,15.9,15.9,2531200
2011-05-23,15.56,16.879999,15.45,16.440001,16.440001,1724400
2011-05-30,16.68,16.809999,15.5,15.67,15.67,1569600
2011-06-06,15.64,16.040001,14.96,15.45,15.45,1764400
2011-06-13,15.48,16.389999,15.0,16.25,16.25,3084000
2011-06-20,16.25,17.84,16.09,17.309999,17.309999,2372000
2011-06-27,17.290001,18.91,17.200001,18.719999,18.719999,1572800
2011-07-04,18.719999,19.700001,18.32,19.639999,19.639999,1382000
2011-07-11,19.290001,19.709999,18.299999,19.52,19.52,1549200
2011-07-18,19.459999,20.41,18.940001,20.370001,20.370001,1555200
2011-07-25,20.08,21.99,19.799999,21.530001,21.530001,2453800
2011-08-01,22.0,22.0,18.860001,19.68,19.68,3278000
2011-08-08,18.83,19.4,16.84,17.9,17.9,3123300
2011-08-15,18.09,18.389999,15.99,16.389999,16.389999,2585400
2011-08-22,16.879999,18.26,15.85,17.59,17.59,2369900
2011-08-29,17.870001,19.450001,16.74,16.84,16.84,1933000
2011-09-05,16.110001,19.309999,16.1,18.02,18.02,2229000
2011-09-12,17.65,20.049999,17.65,18.98,18.98,3271200
2011-09-19,18.41,18.67,15.87,16.42,16.42,2358800
2011-09-26,16.65,18.5,16.040001,16.49,16.49,1873200
2011-10-03,16.4,18.77,15.01,17.860001,17.860001,2150000
2011-10-10,18.32,19.75,18.16,19.299999,19.299999,1541400
2011-10-17,19.18,20.120001,18.379999,19.65,19.65,1797800
2011-10-24,19.809999,20.719999,18.52,19.32,19.32,3105500
2011-10-31,19.01,19.26,17.58,18.52,18.52,2514400
2011-11-07,18.5,19.0,17.639999,18.940001,18.940001,1871400
2011-11-14,18.799999,19.27,18.559999,19.049999,19.049999,2435800
2011-11-21,18.68,19.110001,17.84,18.219999,18.219999,1011900
2011-11-28,19.02,20.309999,18.6,20.24,20.24,2239700
2011-12-05,20.5,21.110001,19.889999,20.99,20.99,2087100
2011-12-12,20.709999,21.33,19.6,19.959999,19.959999,1664000
2011-12-19,20.15,20.98,19.01,20.879999,20.879999,1039900
2011-12-26,20.790001,21.73,20.68,21.559999,21.559999,568100
2012-01-02,22.040001,22.190001,20.59,21.57,21.57,1422900
2012-01-09,21.75,23.309999,21.620001,22.84,22.84,1200000
2012-01-16,23.030001,23.73,22.389999,23.389999,23.389999,1118300
2012-01-23,23.32,23.559999,22.690001,23.4,23.4,1361800
2012-01-30,23.290001,24.85,22.82,24.469999,24.469999,1273600
2012-02-06,24.299999,24.9,24.0,24.68,24.68,1263900
2012-02-13,24.93,27.200001,24.450001,25.92,25.92,2515400
2012-02-20,26.09,26.09,24.59,25.540001,25.540001,1891500
2012-02-27,25.450001,27.49,25.1,26.48,26.48,3404600
2012-03-05,26.51,27.6,25.73,27.200001,27.200001,1781700
2012-03-12,27.200001,27.809999,26.58,26.629999,26.629999,1622200
2012-03-19,26.540001,27.15,26.0,26.639999,26.639999,1375700
2012-03-26,26.85,28.389999,26.65,27.0,27.0,1463600
2012-04-02,27.049999,28.9,26.889999,27.799999,27.799999,1930500
2012-04-09,27.24,27.98,26.219999,27.389999,27.389999,1601500
2012-04-16,27.5,28.200001,26.200001,26.43,26.43,2155000
2012-04-23,26.08,28.82,25.49,28.68,28.68,3293100
2012-04-30,28.719999,29.620001,26.76,26.83,26.83,2369700
2012-05-07,26.76,27.07,25.08,26.07,26.07,1820200
2012-05-14,25.809999,26.549999,24.950001,25.540001,25.540001,2446300
2012-05-21,25.559999,27.0,25.379999,26.549999,26.549999,1458500
2012-05-28,26.76,27.65,24.67,24.790001,24.790001,1533000
2012-06-04,24.84,25.58,23.700001,25.43,25.43,1905000
2012-06-11,25.75,25.790001,23.450001,24.5,24.5,1680700
2012-06-18,24.24,25.34,23.41,23.860001,23.860001,1900700
2012-06-25,23.370001,23.99,21.25,23.690001,23.690001,2358800
2012-07-02,23.9,26.440001,23.639999,25.790001,25.790001,1550500
2012-07-09,25.709999,26.5,24.48,26.440001,26.440001,1313800
2012-07-16,26.23,27.82,26.01,27.15,27.15,1616100
2012-07-23,26.469999,27.959999,25.299999,26.42,26.42,2228000
2012-07-30,26.469999,27.08,24.870001,26.860001,26.860001,1777400
