,Date,Adj Close,diff1,diff1lag1,diff1lag2,diff1lag3,diff1lag4
0,2009-12-28,11.53,,,,,
1,2010-01-04,13.15,1.62,,,,
2,2010-01-11,13.29,0.14,1.62,,,
3,2010-01-18,11.72,-1.57,0.14,1.62,,
4,2010-01-25,11.07,-0.65,-1.57,0.14,1.62,
5,2010-02-01,11.34,0.27,-0.65,-1.57,0.14,1.62
6,2010-02-08,11.24,-0.1,0.27,-0.65,-1.57,0.14
7,2010-02-15,11.7,0.46,-0.1,0.27,-0.65,-1.57
8,2010-02-22,11.63,-0.07,0.46,-0.1,0.27,-0.65
9,2010-03-01,12.9,1.27,-0.07,0.46,-0.1,0.27
10,2010-03-08,13.29,0.39,1.27,-0.07,0.46,-0.1
11,2010-03-15,14.04,0.75,0.39,1.27,-0.07,0.46
12,2010-03-22,13.96,-0.08,0.75,0.39,1.27,-0.07
13,2010-03-29,13.61,-0.35,-0.08,0.75,0.39,1.27
14,2010-04-05,13.59,-0.02,-0.35,-0.08,0.75,0.39
15,2010-04-12,13.86,0.27,-0.02,-0.35,-0.08,0.75
16,2010-04-19,15.04,1.18,0.27,-0.02,-0.35,-0.08
17,2010-04-26,15.55,0.51,1.18,0.27,-0.02,-0.35
18,2010-05-03,13.31,-2.24,0.51,1.18,0.27,-0.02
19,2010-05-10,14.11,0.8,-2.24,0.51,1.18,0.27
20,2010-05-17,12.46,-1.65,0.8,-2.24,0.51,1.18
21,2010-05-24,13.22,0.76,-1.65,0.8,-2.24,0.51
22,2010-05-31,12.59,-0.63,0.76,-1.65,0.8,-2.24
23,2010-06-07,12.75,0.16,-0.63,0.76,-1.65,0.8
24,2010-06-14,12.24,-0.51,0.16,-0.63,0.76,-1.65
25,2010-06-21,11.37,-0.87,-0.51,0.16,-0.63,0.76
26,2010-06-28,10.34,-1.03,-0.87,-0.51,0.16,-0.63
27,2010-07-05,10.29,-0.05,-1.03,-0.87,-0.51,0.16
28,2010-07-12,10.41,0.12,-0.05,-1.03,-0.87,-0.51
29,2010-07-19,12.32,1.91,0.12,-0.05,-1.03,-0.87
30,2010-07-26,13.46,1.14,1.91,0.12,-0.05,-1.03
31,2010-08-02,13.91,0.45,1.14,1.91,0.12,-0.05
32,2010-08-09,12.88,-1.03,0.45,1.14,1.91,0.12
33,2010-08-16,12.76,-0.12,-1.03,0.45,1.14,1.91
34,2010-08-23,12.49,-0.27,-0.12,-1.03,0.45,1.14
35,2010-08-30,13.6,1.11,-0.27,-0.12,-1.03,0.45
36,2010-09-06,12.77,-0.83,1.11,-0.27,-0.12,-1.03
37,2010-09-13,12.24,-0.53,-0.83,1.11,-0.27,-0.12
38,2010-09-20,13.41,1.17,-0.53,-0.83,1.11,-0.27
39,2010-09-27,14.41,1.0,1.17,-0.53,-0.83,1.11
40,2010-10-04,14.45,0.04,1.0,1.17,-0.53,-0.83
41,2010-10-11,14.58,0.13,0.04,1.0,1.17,-0.53
42,2010-10-18,14.78,0.2,0.13,0.04,1.0,1.17
43,2010-10-25,14.42,-0.36,0.2,0.13,0.04,1.0
44,2010-11-01,15.81,1.39,-0.36,0.2,0.13,0.04
45,2010-11-08,15.62,-0.19,1.39,-0.36,0.2,0.13
46,2010-11-15,15.65,0.03,-0.19,1.39,-0.36,0.2
47,2010-11-22,16.1,0.45,0.03,-0.19,1.39,-0.36
48,2010-11-29,17.129999,1.029999,0.45,0.03,-0.19,1.39
49,2010-12-06,17.540001,0.410002,1.029999,0.45,0.03,-0.19
50,2010-12-13,16.870001,-0.67,0.410002,1.029999,0.45,0.03
51,2010-12-20,18.059999,1.189998,-0.67,0.410002,1.029999,0.45
52,2010-12-27,18.48,0.420001,1.189998,-0.67,0.410002,1.029999
53,2011-01-03,18.719999,0.239999,0.420001,1.189998,-0.67,0.410002
54,2011-01-10,18.559999,-0.16,0.239999,0.420001,1.189998,-0.67
55,2011-01-17,18.110001,-0.449998,-0.16,0.239999,0.420001,1.189998
56,2011-01-24,18.42,0.309999,-0.449998,-0.16,0.239999,0.420001
57,2011-01-31,18.780001,0.360001,0.309999,-0.449998,-0.16,0.239999
58,2011-02-07,19.98,1.199999,0.360001,0.309999,-0.449998,-0.16
59,2011-02-14,18.299999,-1.680001,1.199999,0.360001,0.309999,-0.449998
60,2011-02-21,18.559999,0.26,-1.680001,1.199999,0.360001,0.309999
61,2011-02-28,19.110001,0.550002,0.26,-1.680001,1.199999,0.360001
62,2011-03-07,19.16,0.049999,0.550002,0.26,-1.680001,1.199999
63,2011-03-14,17.040001,-2.119999,0.049999,0.550002,0.26,-1.680001
64,2011-03-21,18.82,1.779999,-2.119999,0.049999,0.550002,0.26
65,2011-03-28,18.66,-0.16,1.779999,-2.119999,0.049999,0.550002
66,2011-04-04,18.25,-0.41,-0.16,1.779999,-2.119999,0.049999
67,2011-04-11,16.969999,-1.280001,-0.41,-0.16,1.779999,-2.119999
68,2011-04-18,17.6,0.630001,-1.280001,-0.41,-0.16,1.779999
69,2011-04-25,17.299999,-0.300001,0.630001,-1.280001,-0.41,-0.16
70,2011-05-02,16.59,-0.709999,-0.300001,0.630001,-1.280001,-0.41
71,2011-05-09,16.860001,0.270001,-0.709999,-0.300001,0.630001,-1.280001
72,2011-05-16,15.9,-0.960001,0.270001,-0.709999,-0.300001,0.630001
73,2011-05-23,16.440001,0.540001,-0.960001,0.270001,-0.709999,-0.300001
74,2011-05-30,15.67,-0.770001,0.540001,-0.960001,0.270001,-0.709999
75,2011-06-06,15.45,-0.22,-0.770001,0.540001,-0.960001,0.270001
76,2011-06-13,16.25,0.8,-0.22,-0.770001,0.540001,-0.960001
77,2011-06-20,17.309999,1.059999,0.8,-0.22,-0.770001,0.540001
78,2011-06-27,18.719999,1.41,1.059999,0.8,-0.22,-0.770001
79,2011-07-04,19.639999,0.92,1.41,1.059999,0.8,-0.22
80,2011-07-11,19.52,-0.119999,0.92,1.41,1.059999,0.8
81,2011-07-18,20.370001,0.850001,-0.119999,0.92,1.41,1.059999
82,2011-07-25,21.530001,1.16,0.850001,-0.119999,0.92,1.41
83,2011-08-01,19.68,-1.850001,1.16,0.850001,-0.119999,0.92
84,2011-08-08,17.9,-1.78,-1.850001,1.16,0.850001,-0.119999
85,2011-08-15,16.389999,-1.510001,-1.78,-1.850001,1.16,0.850001
86,2011-08-22,17.59,1.200001,-1.510001,-1.78,-1.850001,1.16
87,2011-08-29,16.84,-0.75,1.200001,-1.510001,-1.78,-1.850001
88,2011-09-05,18.02,1.18,-0.75,1.200001,-1.510001,-1.78
89,2011-09-12,18.98,0.96,1.18,-0.75,1.200001,-1.510001
90,2011-09-19,16.42,-2.56,0.96,1.18,-0.75,1.200001
91,2011-09-26,16.49,0.07,-2.56,0.96,1.18,-0.75
92,2011-10-03,17.860001,1.370001,0.07,-2.56,0.96,1.18
93,2011-10-10,19.299999,1.439998,1.370001,0.07,-2.56,0.96
94,2011-10-17,19.65,0.350001,1.439998,1.370001,0.07,-2.56
95,2011-10-24,19.32,-0.33,0.350001,1.439998,1.370001,0.07
96,2011-10-31,18.52,-0.8,-0.33,0.350001,1.439998,1.370001
97,2011-11-07,18.940001,0.420001,-0.8,-0.33,0.350001,1.439998
98,2011-11-14,19.049999,0.109998,0.420001,-0.8,-0.33,0.350001
99,2011-11-21,18.219999,-0.83,0.109998,0.420001,-0.8,-0.33
100,2011-11-28,20.24,2.020001,-0.83,0.109998,0.420001,-0.8
101,2011-12-05,20.99,0.75,2.020001,-0.83,0.109998,0.420001
102,2011-12-12,19.959999,-1.030001,0.75,2.020001,-0.83,0.109998
